entidad_a,rangedad_a,orgpoltt,orgpol1,orgpol2,orgpol3,orgpol4,orgpol5,orgpol6,orgpol7,orgpol8,orgpol9,orgpol10,orgpol11,orgpol12,orgpol13,orgpol14,orgpol15,orgpol16,orgpol17,orgpol18
21,6,5,4,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,7,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,8,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,9,14,13,1,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,99,,,,,,,,,,,,,,,,,,,
22,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,3,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,5,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,6,2,2,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,1,0
22,7,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,9,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,99,,,,,,,,,,,,,,,,,,,
23,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
23,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
23,3,1,0,1,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
23,4,2,2,0,1,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0
23,5,4,4,0,3,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0
