entidad_a,cafallec_c,orgpoltt,orgpol1,orgpol2,orgpol3,orgpol4,orgpol5,orgpol6,orgpol7,orgpol8,orgpol9,orgpol10,orgpol11,orgpol12,orgpol13,orgpol14,orgpol15,orgpol16,orgpol17,orgpol18
7,600,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
7,9999,,,,,,,,,,,,,,,,,,,
8,100,7,6,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,101,7,6,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,199,,,,,,,,,,,,,,,,,,,
8,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,300,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,400,10,9,1,6,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
8,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9999,,,,,,,,,,,,,,,,,,,
9,100,17,16,1,14,1,1,0,0,0,0,0,NA,NA,1,0,0,0,0,0
9,101,17,16,1,14,1,1,0,0,0,0,0,NA,NA,1,0,0,0,0,0
9,102,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
9,199,,,,,,,,,,,,,,,,,,,
9,200,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
9,300,23,19,4,16,2,0,2,0,0,1,0,NA,NA,1,0,1,0,0,0
9,400,548,501,47,164,11,4,0,272,20,2,0,NA,NA,8,0,51,16,0,0
9,500,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
9,600,1,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0
9,9999,,,,,,,,,,,,,,,,,,,
10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,199,,,,,,,,,,,,,,,,,,,
10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,300,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,400,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,500,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9999,,,,,,,,,,,,,,,,,,,
11,100,13,13,0,12,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,101,13,13,0,12,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,102,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
11,199,,,,,,,,,,,,,,,,,,,
11,200,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
